household_id;number_of_cars_class;number_of_bikes_class;ovgk;income;statpop_household_id
202300562005107;1;1;C;3;202300562005107
202301583644198;1;1;C;3;202301583644198
202305460772499;1;1;C;3;202305460772499
202302302176603;1;1;C;3;202302302176603
202301183262678;1;1;C;3;202301183262678
202302922116977;1;1;C;3;202302922116977
202301182684107;1;1;C;3;202301182684107
202302610926382;1;1;C;3;202302610926382
202302450546392;1;1;C;3;202302450546392
202301910475253;1;1;C;3;202301910475253
202302002744894;1;1;C;3;202302002744894
202325273016239;1;1;C;3;202325273016239
202364080979583;1;1;C;3;202364080979583
202333381591588;1;2;D;3;202333381591588
202310862059082;1;2;D;3;202310862059082
202334080217058;1;2;D;3;202334080217058
202334430237161;1;2;D;3;202334430237161
202333411562184;1;2;D;3;202333411562184
202334021912054;1;2;D;3;202334021912054
202316322608115;1;2;D;3;202316322608115
202332930315532;1;2;D;3;202332930315532
202332551860275;1;2;D;3;202332551860275
202334080215948;1;2;D;3;202334080215948
202333400454538;1;2;D;3;202333400454538
202332142894773;1;2;D;3;202332142894773
202332330285912;1;2;D;3;202332330285912
202332320284825;1;2;D;3;202332320284825
202328463153640;1;2;C;2;202328463153640
202328312377750;1;2;C;2;202328312377750
202300551419826;2;2;D;7;202300551419826
202300541331761;2;2;D;7;202300541331761
202301772739593;2;2;D;7;202301772739593
202313313957718;1;2;B;8;202313313957718
202302610942150;1;2;B;8;202302610942150
202300922152504;1;2;B;8;202300922152504
202301990193520;1;2;B;8;202301990193520
202310611479817;1;2;B;8;202310611479817
202330233291089;1;2;B;8;202330233291089
202302470562521;1;2;B;8;202302470562521
202302300480091;1;2;B;8;202302300480091
202302612713790;1;2;B;8;202302612713790
202302611328787;1;2;B;8;202302611328787
202302450545501;1;2;B;8;202302450545501
202300662323811;1;2;B;8;202300662323811
202302611317050;1;2;B;8;202302611317050
202300273844204;1;2;B;8;202300273844204
202302611277179;0;2;A;2;202302611277179
202302611264146;0;2;A;2;202302611264146
202302611258032;0;2;A;2;202302611258032
202325813044722;0;2;A;2;202325813044722
202302300472700;0;2;A;2;202302300472700
202302611268259;0;2;A;2;202302611268259
202327613063071;1;2;B;2;202327613063071
202303510639063;1;2;B;2;202303510639063
202306271493315;1;1;D;3;202306271493315
202300922086347;1;1;D;3;202300922086347
202301772093226;1;1;D;3;202301772093226
202302302124882;1;1;D;3;202302302124882
202302962092768;1;1;D;3;202302962092768
202301561994506;1;1;D;3;202301561994506
202332721564614;1;1;D;3;202332721564614
202327712295297;1;1;D;3;202327712295297
202300902976240;1;1;D;3;202300902976240
202301551977191;1;1;D;3;202301551977191
202301543611162;1;1;D;3;202301543611162
202300892004086;1;1;D;3;202300892004086
202302953345737;1;1;D;3;202302953345737
202301922741077;1;1;D;3;202301922741077
202328252359709;1;1;D;3;202328252359709
202302963819046;1;1;D;3;202302963819046
202300582122802;1;1;D;3;202300582122802
202324071749996;1;1;D;3;202324071749996
202301982743847;1;1;D;3;202301982743847
202301583624287;1;1;D;3;202301583624287
202302482135915;1;1;D;3;202302482135915
202301732264029;1;1;D;3;202301732264029
202301382089924;1;1;D;3;202301382089924
202300032111470;1;1;D;3;202300032111470
202301803944083;1;1;D;3;202301803944083
202301383466525;2;1;C;2;202301383466525
202317032858263;2;1;C;2;202317032858263
202302502749081;2;1;C;2;202302502749081
202301913987086;2;1;C;2;202301913987086
202300532165024;2;1;C;2;202300532165024
202301162683482;2;1;C;2;202301162683482
202301162162292;2;1;C;2;202301162162292
202366082626203;2;1;C;2;202366082626203
202366360168848;2;1;C;2;202366360168848
202350910338898;2;1;C;2;202350910338898
202327013239355;0;0;A;1;202327013239355
202327013196835;0;0;A;1;202327013196835
202327013191149;0;0;A;1;202327013191149
202332030250107;0;0;A;1;202332030250107
202364581022730;0;0;A;1;202364581022730
202361361874817;0;0;A;1;202361361874817
202302300484316;1;1;B;3;202302300484316
202302300478890;1;1;B;3;202302300478890
202300142847502;1;1;B;3;202300142847502
202300661997038;1;1;B;3;202300661997038
202300662133676;1;1;B;3;202300662133676
202302500609011;1;1;B;3;202302500609011
202302440534142;1;1;B;3;202302440534142
202302611247184;1;1;B;3;202302611247184
202302612727354;1;1;B;3;202302612727354
202301513584859;1;1;B;3;202301513584859
202302612723471;1;1;B;3;202302612723471
202300021938902;1;1;B;3;202300021938902
202321251616135;1;1;B;3;202321251616135
202302472164566;0;0;B;5;202302472164566
202302612691812;0;0;B;5;202302612691812
202302611223885;0;0;B;5;202302611223885
202300962137989;0;0;B;5;202300962137989
202300622102139;0;0;B;5;202300622102139
202301990193853;0;0;B;5;202301990193853
202302500606467;0;0;B;5;202302500606467
202302953372759;0;0;B;5;202302953372759
202312012308678;0;0;B;5;202312012308678
202302612318814;0;0;B;5;202302612318814
202301313324315;0;0;B;5;202301313324315
202302300506784;0;0;B;5;202302300506784
202302300473803;0;0;B;5;202302300473803
202302440537196;0;0;B;5;202302440537196
202300622241749;1;0;D;1;202300622241749
202301383465034;1;0;D;1;202301383465034
202300963001557;1;0;D;1;202300963001557
202300880466236;1;0;D;1;202300880466236
202301373445923;1;0;D;1;202301373445923
202301761999226;1;0;D;1;202301761999226
202314012480965;1;2;D;3;202314012480965
202334080217488;1;0;None;3;202334080217488
202313722413216;3;1;D;8;202313722413216
202304120027660;2;2;C;2;202304120027660
202303292882957;1;2;B;3;202303292882957
202309810960168;1;2;B;3;202309810960168
202309420925042;1;2;B;3;202309420925042
202303711402370;1;2;B;3;202303711402370
202303550687695;1;2;B;3;202303550687695
202309420931267;1;2;B;3;202309420931267
202328613159073;1;2;B;3;202328613159073
202301954068080;1;2;C;2;202301954068080
202301183261955;1;2;C;2;202301183261955
202301152087509;1;2;C;2;202301152087509
202328833163031;2;1;None;1;202328833163031
202332761472003;2;1;None;1;202332761472003
202336720521676;2;1;None;1;202336720521676
202336720527051;2;1;None;1;202336720527051
202321251088290;1;0;None;1;202321251088290
202321131080050;1;0;None;1;202321131080050
202304121546420;1;2;C;2;202304121546420
202305441533228;1;2;C;2;202305441533228
202303560701130;1;2;C;2;202303560701130
202304122852359;1;2;C;2;202304122852359
202303711402156;1;2;C;2;202303711402156
202309810960613;1;2;C;2;202309810960613
202332130275865;1;1;B;2;202332130275865
202313012332800;1;1;B;2;202313012332800
202310241673062;1;1;B;2;202310241673062
202332031807213;1;1;B;2;202332031807213
202352100392325;1;1;B;2;202352100392325
202351960385332;1;1;B;2;202351960385332
202346713568383;1;1;B;2;202346713568383
202345663551876;1;1;B;2;202345663551876
202351980388268;1;1;B;2;202351980388268
202351920383634;1;1;B;2;202351920383634
202351921570978;1;1;B;2;202351921570978
202350030325781;1;1;B;2;202350030325781
202321253964309;1;1;A;2;202321253964309
202302302270546;1;1;A;2;202302302270546
202300922022032;1;1;A;2;202300922022032
202302612693330;1;1;A;2;202302612693330
202300532157960;1;1;A;2;202300532157960
202300532168760;1;1;A;2;202300532168760
202311031605146;1;1;A;2;202311031605146
202300662155191;1;1;A;2;202300662155191
202302610940065;1;1;A;2;202302610940065
202317112970420;1;1;A;2;202317112970420
202302612702071;1;1;A;2;202302612702071
202301912184575;1;1;A;2;202301912184575
202302612726872;1;1;A;2;202302612726872
202303510627724;1;1;A;2;202303510627724
202302612724811;1;1;A;2;202302612724811
202302611291234;1;1;A;2;202302611291234
202302612310284;1;1;A;2;202302612310284
202302611141228;1;1;A;2;202302611141228
202302610968437;1;1;A;2;202302610968437
202340212422946;1;1;A;2;202340212422946
202316302609351;3;0;None;8;202316302609351
202361352873069;3;0;None;8;202361352873069
202311032063377;1;0;A;2;202311032063377
202310612074061;1;0;A;2;202310612074061
202310541762984;1;0;A;2;202310541762984
202310542029937;1;0;A;2;202310542029937
202310612159602;1;0;A;2;202310612159602
202367114064653;1;0;A;2;202367114064653
202313662807322;0;2;D;2;202313662807322
202309411645895;1;0;D;2;202309411645895
202304962770146;1;0;D;2;202304962770146
202309410919387;1;0;D;2;202309410919387
202303550698521;1;0;D;2;202303550698521
202309270904428;1;0;D;2;202309270904428
202309280905426;1;0;D;2;202309280905426
202303712768288;1;0;D;2;202303712768288
202307311772788;1;0;D;2;202307311772788
202300963005840;1;1;None;1;202300963005840
202330013283036;1;1;None;1;202330013283036
202328682368927;1;1;None;1;202328682368927
202314052504048;1;1;None;1;202314052504048
202333941730757;1;1;None;1;202333941730757
202301182163559;1;2;D;1;202301182163559
202301952850793;1;2;D;1;202301952850793
202301732850325;1;2;D;1;202301732850325
202301413506854;1;2;D;1;202301413506854
202302302271830;1;2;D;1;202302302271830
202301952266348;1;2;D;1;202301952266348
202321251088305;2;1;C;4;202321251088305
202332041782078;2;1;C;4;202332041782078
202339621786001;2;1;C;4;202339621786001
202325462195661;2;1;C;4;202325462195661
202334271788469;2;1;C;4;202334271788469
202334270219318;2;1;C;4;202334270219318
202332751901547;2;1;C;4;202332751901547
202317091650598;2;1;C;4;202317091650598
202310241959112;2;1;A;7;202310241959112
202311042260183;2;0;None;3;202311042260183
202311311425360;2;0;None;3;202311311425360
202310612208542;0;0;A;1;202310612208542
202310593089176;0;0;A;1;202310593089176
202310612215096;0;0;A;1;202310612215096
202310612315556;0;0;A;1;202310612315556
202302611163527;0;0;B;1;202302611163527
202301913989208;0;0;B;1;202301913989208
202301383455950;0;0;B;1;202301383455950
202300560475234;0;0;B;1;202300560475234
202300531286381;0;0;B;1;202300531286381
202302611345360;0;0;B;1;202302611345360
202302300505225;0;0;B;1;202302300505225
202302302146608;0;0;B;1;202302302146608
202302612723437;0;0;B;1;202302612723437
202302612712172;0;0;B;1;202302612712172
202301613728186;0;0;B;1;202301613728186
202302612691482;0;0;B;1;202302612691482
202302612693476;0;0;B;1;202302612693476
202302472006429;0;0;B;1;202302472006429
202302300506611;0;0;B;1;202302300506611
202338510552723;1;0;C;2;202338510552723
202336680528443;1;0;C;2;202336680528443
202303550696550;2;1;None;4;202303550696550
202306230813867;2;1;None;4;202306230813867
202306280819361;2;1;None;4;202306280819361
202300962681975;2;2;D;4;202300962681975
202301542091044;2;2;D;4;202301542091044
202301601991739;1;1;C;3;202301601991739
202301982094562;1;1;C;3;202301982094562
202310522025295;1;1;C;3;202310522025295
202301133114359;1;1;C;3;202301133114359
202302510620704;1;1;C;3;202302510620704
202325863055235;1;1;C;3;202325863055235
202301603690688;1;1;C;3;202301603690688
202310101438269;1;1;C;3;202310101438269
202364160970944;1;1;C;3;202364160970944
202302611064767;0;2;A;7;202302611064767
202302611055559;0;2;A;7;202302611055559
202302301995644;0;2;A;7;202302301995644
202302612314023;0;2;A;7;202302612314023
202339011366372;0;2;A;7;202339011366372
202302612309184;0;2;A;7;202302612309184
202302611324112;0;2;A;7;202302611324112
202313722411208;0;0;None;2;202313722411208
202332941469909;0;0;None;2;202332941469909
202340623384848;0;0;None;2;202340623384848
202362654035016;0;0;None;2;202362654035016
202302610884287;0;2;B;3;202302610884287
202302431977210;0;2;B;3;202302431977210
202310651750696;1;2;B;7;202310651750696
202338510554986;1;2;B;7;202338510554986
202310592062216;1;2;B;7;202310592062216
202317111649980;1;2;B;7;202317111649980
202310241962230;1;2;B;7;202310241962230
202310522024664;1;2;B;7;202310522024664
202310591818501;1;2;B;7;202310591818501
202362171614870;1;2;B;7;202362171614870
202303510642650;0;0;A;1;202303510642650
202303510648885;0;0;A;1;202303510648885
202303510648543;0;0;A;1;202303510648543
202303290666841;0;0;A;1;202303290666841
202303711393262;0;0;A;1;202303711393262
202307130839723;0;0;A;1;202307130839723
202303510648586;0;0;A;1;202303510648586
202302611047638;1;2;A;7;202302611047638
202302610970010;1;2;A;7;202302610970010
202303510595764;1;2;A;7;202303510595764
202302611145085;1;2;A;7;202302611145085
202310672223971;2;2;D;5;202310672223971
202333401210052;0;0;C;2;202333401210052
202332041325400;0;0;C;2;202332041325400
202313451665914;1;2;D;3;202313451665914
202313012329752;1;2;D;3;202313012329752
202313012332756;1;2;D;3;202313012332756
202313232381388;1;2;D;3;202313232381388
202313622401500;1;2;D;3;202313622401500
202309070899036;1;2;None;2;202309070899036
202306700830543;1;2;None;2;202306700830543
202308660884980;1;2;None;2;202308660884980
202307000834222;1;2;None;2;202307000834222
202330353298653;1;2;None;2;202330353298653
202309230903266;1;2;None;2;202309230903266
202301382019702;2;2;D;4;202301382019702
202301212105621;2;2;D;4;202301212105621
202302963812141;2;2;D;4;202302963812141
202301944057421;2;2;D;4;202301944057421
202302980461273;2;2;D;4;202302980461273
202347613584869;2;2;D;4;202347613584869
202362531757768;2;2;D;4;202362531757768
202322941676919;2;2;None;2;202322941676919
202322201133609;2;2;None;2;202322201133609
202322751819408;2;2;None;2;202322751819408
202320961081824;2;2;None;2;202320961081824
202323062890151;2;2;None;2;202323062890151
202321451095913;2;2;None;2;202321451095913
202321251099132;2;2;None;2;202321251099132
202323231166447;2;2;None;2;202323231166447
202323091164147;2;2;None;2;202323091164147
202364211001640;2;2;None;2;202364211001640
202340632864243;2;2;None;2;202340632864243
202301954060581;1;2;B;2;202301954060581
202302612702843;1;2;B;2;202302612702843
202302300484155;1;2;B;2;202302300484155
202302611288187;1;2;B;2;202302611288187
202301413515360;1;2;B;2;202301413515360
202302612701193;1;2;B;2;202302612701193
202301922106393;1;2;B;2;202301922106393
202300662103728;1;2;B;2;202300662103728
202300022129549;1;2;B;2;202300022129549
202300642677658;1;1;C;8;202300642677658
202302612700005;1;1;C;8;202302612700005
202301912125897;1;1;C;8;202301912125897
202367574074181;1;1;C;8;202367574074181
202309510942122;0;0;None;1;202309510942122
202327910823710;0;0;None;1;202327910823710
202321521097690;0;0;None;1;202321521097690
202305330765293;0;0;None;1;202305330765293
202322111132469;0;0;None;1;202322111132469
202308660885124;0;0;None;1;202308660885124
202309390918639;0;0;None;1;202309390918639
202324652987769;0;0;None;1;202324652987769
202313472397073;0;0;None;1;202313472397073
202361543999380;0;0;None;1;202361543999380
202354563820864;0;0;None;1;202354563820864
202301352114307;2;2;D;6;202301352114307
202301183252728;2;2;D;6;202301183252728
202301552158335;2;2;D;6;202301552158335
202301523604030;2;2;D;6;202301523604030
202302462272739;2;2;D;6;202302462272739
202300821980105;2;2;D;6;202300821980105
202302430509632;2;2;D;6;202302430509632
202321251777412;0;0;C;1;202321251777412
202325130467069;0;0;C;1;202325130467069
202357252522059;0;0;C;1;202357252522059
202359383787507;0;0;C;1;202359383787507
202354982519956;0;0;C;1;202354982519956
202354013798336;0;0;C;1;202354013798336
202354023800759;0;0;C;1;202354023800759
202310612193692;1;2;A;3;202310612193692
202310612204795;1;2;A;3;202310612204795
202310612190402;1;2;A;3;202310612190402
202310612076916;1;2;A;3;202310612076916
202310612210919;1;2;A;3;202310612210919
202325813045323;1;2;A;3;202325813045323
202310612194386;1;2;A;3;202310612194386
202310592064287;1;2;A;3;202310592064287
202310612194791;1;2;A;3;202310612194791
202301513589105;1;0;C;3;202301513589105
202333401635767;1;0;C;3;202333401635767
202327702367698;1;0;C;3;202327702367698
202300520940819;1;0;C;3;202300520940819
202325172203921;1;0;C;3;202325172203921
202328293143514;1;0;C;3;202328293143514
202302610913760;1;0;C;3;202302610913760
202301153137489;1;0;C;3;202301153137489
202300682406857;1;0;C;3;202300682406857
202302302270486;0;2;B;2;202302302270486
202339011877393;0;2;B;2;202339011877393
202303511634703;0;2;A;4;202303511634703
202317011918642;0;2;A;4;202317011918642
202303510591768;0;2;A;4;202303510591768
202328812371868;1;2;D;3;202328812371868
202328292364172;1;2;D;3;202328292364172
202328692790108;1;2;D;3;202328692790108
202327930824863;1;2;D;3;202327930824863
202303511617328;1;0;A;1;202303511617328
202303510613581;1;0;A;1;202303510613581
202334442910651;1;2;D;3;202334442910651
202332551331794;1;2;D;3;202332551331794
202312011599909;1;2;D;3;202312011599909
202334430236417;1;2;D;3;202334430236417
202332731417993;1;2;D;3;202332731417993
202332552791952;1;2;D;3;202332552791952
202334050212407;1;2;D;3;202334050212407
202332761335632;1;2;D;3;202332761335632
202333920205465;1;2;D;3;202333920205465
202310582045745;2;2;B;4;202310582045745
202315051875904;1;2;D;2;202315051875904
202301413505469;1;2;D;2;202301413505469
202301553613677;1;2;D;2;202301553613677
202301313321588;1;2;D;2;202301313321588
202300551423661;1;2;D;2;202300551423661
202300284006296;1;2;D;2;202300284006296
202302953360235;1;2;D;2;202302953360235
202301944056977;1;2;D;2;202301944056977
202300092112894;1;2;D;2;202300092112894
202300902976407;1;2;D;2;202300902976407
202300882680219;1;2;D;2;202300882680219
202339012764317;1;2;D;2;202339012764317
202300712594122;1;2;D;2;202300712594122
202303620714963;1;0;C;6;202303620714963
202303630720053;1;0;C;6;202303630720053
202309420935027;1;0;C;6;202309420935027
202305460772722;1;0;C;6;202305460772722
202303530681713;1;0;C;6;202303530681713
202303530681545;1;0;C;6;202303530681545
202303111497417;1;0;C;6;202303111497417
202308830891012;1;0;C;6;202308830891012
202309420933805;1;0;C;6;202309420933805
202329373270220;1;2;C;4;202329373270220
202329391238298;1;2;C;4;202329391238298
202327703115792;2;1;D;4;202327703115792
202317031567844;2;1;D;4;202317031567844
202342060035546;2;1;D;4;202342060035546
202327652749469;1;2;A;2;202327652749469
202327713117895;1;2;A;2;202327713117895
202327713117888;1;2;A;2;202327713117888
202329391893315;1;2;A;2;202329391893315
202327733124774;1;2;A;2;202327733124774
202327693107831;1;2;A;2;202327693107831
202327653079198;1;2;A;2;202327653079198
202321021699462;1;2;None;3;202321021699462
202323091163683;1;2;None;3;202323091163683
202322952889756;1;2;None;3;202322952889756
202322841150505;1;2;None;3;202322841150505
202320531782001;1;2;None;3;202320531782001
202323211165635;1;2;None;3;202323211165635
202303510588416;0;2;B;0;202303510588416
202317111643255;0;2;B;0;202317111643255
202309420932337;0;2;B;0;202309420932337
202334441503155;0;0;D;0;202334441503155
202330233290753;0;0;D;0;202330233290753
202334020208484;0;0;D;0;202334020208484
202323041159994;0;0;D;0;202323041159994
202332041322624;0;0;D;0;202332041322624
202334410229680;0;0;D;0;202334410229680
202333520196078;0;0;D;0;202333520196078
202333401839324;0;0;D;0;202333401839324
202330231612032;0;0;D;0;202330231612032
202332741334136;0;0;D;0;202332741334136
202333951713418;0;0;D;0;202333951713418
202333520196243;0;0;D;0;202333520196243
202310241960766;0;0;D;0;202310241960766
202332310283101;0;0;D;0;202332310283101
202333791352233;0;0;D;0;202333791352233
202367194069732;0;0;D;0;202367194069732
202364160975790;0;0;D;0;202364160975790
202302300497035;1;1;B;5;202302300497035
202302300498965;1;1;B;5;202302300498965
202302000201775;1;1;B;5;202302000201775
202301984088580;1;1;B;5;202301984088580
202301982094537;1;1;B;5;202301982094537
202301974085495;1;1;B;5;202301974085495
202322201139199;1;0;None;2;202322201139199
202322722816866;1;0;None;2;202322722816866
202321631682171;1;0;None;2;202321631682171
202322361193693;1;0;None;2;202322361193693
202322351780920;1;0;None;2;202322351780920
202322362814573;1;0;None;2;202322362814573
202320542298823;1;0;None;2;202320542298823
202320541860116;1;0;None;2;202320541860116
202323251168562;1;0;None;2;202323251168562
202323351170380;1;0;None;2;202323351170380
202320531793870;1;0;None;2;202320531793870
202321131079240;1;0;None;2;202321131079240
202322841701040;1;0;None;2;202322841701040
202322741146020;1;0;None;2;202322741146020
202302953366577;2;1;D;5;202302953366577
202300622213935;2;1;D;5;202300622213935
202332380295356;2;1;D;1;202332380295356
202310811726480;2;1;D;1;202310811726480
202342232434621;2;1;D;1;202342232434621
202345712511060;2;1;D;1;202345712511060
202316322612646;2;1;D;4;202316322612646
202316301562034;2;1;D;4;202316301562034
202332910313345;2;2;B;3;202332910313345
202310981656591;1;0;B;3;202310981656591
202327033260721;1;0;B;3;202327033260721
202327623070832;1;0;B;3;202327623070832
202332031648670;1;2;B;4;202332031648670
202332031468822;1;2;B;4;202332031468822
202303510651006;2;2;B;8;202303510651006
202320541071751;1;0;C;2;202320541071751
202300962178357;0;1;B;4;202300962178357
202300692475310;0;1;B;4;202300692475310
202301213298935;0;1;B;4;202301213298935
202302000201790;0;1;B;4;202302000201790
202302612712476;0;1;B;4;202302612712476
202317042896779;0;2;C;2;202317042896779
202317022872006;0;2;C;2;202317022872006
202317091653169;0;2;C;2;202317091653169
202317070111078;0;2;C;2;202317070111078
202317041442945;0;2;C;2;202317041442945
202317012851773;0;2;C;2;202317012851773
202317112972822;0;2;C;2;202317112972822
202302300496685;1;0;B;2;202302300496685
202300963006588;1;0;B;2;202300963006588
202301543608952;1;0;B;2;202301543608952
202301573621208;1;0;B;2;202301573621208
202301932106501;1;0;B;2;202301932106501
202302612711570;1;0;B;2;202302612711570
202302612719167;1;0;B;2;202302612719167
202300622138754;1;0;B;2;202300622138754
202302300483836;1;0;B;2;202302300483836
202300561427196;1;0;B;2;202300561427196
202302611374576;1;0;B;2;202302611374576
202335060510744;1;2;C;4;202335060510744
202339011363605;1;2;C;4;202339011363605
202337221217039;1;2;C;4;202337221217039
202339011915815;1;2;C;4;202339011915815
202325831862661;2;1;C;5;202325831862661
202340823402058;2;1;C;5;202340823402058
202312131946712;2;2;D;3;202312131946712
202341433427230;2;2;D;3;202341433427230
202340413366991;2;2;D;3;202340413366991
202340813398419;2;2;D;3;202340813398419
202341252461029;2;2;D;3;202341252461029
202341653433576;2;2;D;3;202341653433576
202342212458075;2;2;D;3;202342212458075
202342623480640;2;2;D;3;202342623480640
202340723391286;2;2;D;3;202340723391286
202340653387632;2;2;D;3;202340653387632
202340371517862;2;2;D;3;202340371517862
202342033449882;2;2;D;3;202342033449882
202341412440701;2;2;D;3;202341412440701
202343242446396;2;2;D;3;202343242446396
202342003444137;2;2;D;3;202342003444137
202342822455867;2;2;D;3;202342822455867
202339011367008;0;0;A;1;202339011367008
202355902590577;0;0;A;1;202355902590577
202356243667963;0;0;A;1;202356243667963
202330323296319;3;1;D;3;202330323296319
202305660783240;3;1;D;3;202305660783240
202332930315653;3;1;D;3;202332930315653
202306701527982;3;1;D;3;202306701527982
202304941709582;3;1;D;3;202304941709582
202352811583569;3;1;D;3;202352811583569
202352380440153;3;1;D;3;202352380440153
202352211564434;3;1;D;3;202352211564434
202352381485401;3;1;D;3;202352381485401
202350482500597;3;1;D;3;202350482500597
202352030390703;3;1;D;3;202352030390703
202310101438702;2;1;None;2;202310101438702
202310321972739;2;1;None;2;202310321972739
202311401430320;2;1;None;2;202311401430320
202303711390306;1;2;B;0;202303711390306
202303610710323;1;2;B;0;202303610710323
202303711403356;1;2;B;0;202303711403356
202303610713334;1;2;B;0;202303610713334
202303510590673;1;2;B;0;202303510590673
202310982249028;1;0;None;3;202310982249028
202300672877677;2;2;None;6;202300672877677
202312062270451;2;2;None;6;202312062270451
202360243921945;2;2;None;6;202360243921945
202329391234414;2;0;B;4;202329391234414
202302611176895;2;0;B;4;202302611176895
202302612721678;2;0;B;4;202302612721678
202327013187205;2;0;B;4;202327013187205
202308860894237;0;2;D;4;202308860894237
202309062783877;0;2;D;4;202309062783877
202303092881938;0;2;D;4;202303092881938
202309280906536;0;2;D;4;202309280906536
202327013229532;1;0;A;1;202327013229532
202327013252494;1;0;A;1;202327013252494
202317092952801;1;2;C;8;202317092952801
202317091797530;1;2;C;8;202317091797530
202317023955953;1;2;C;8;202317023955953
202310592060090;1;2;B;3;202310592060090
202322751147130;1;2;B;3;202322751147130
202345661628364;1;2;B;3;202345661628364
202362974051867;1;2;B;3;202362974051867
202345063542032;1;2;B;3;202345063542032
202364042845431;1;2;B;3;202364042845431
202332031807138;0;2;A;2;202332031807138
202303510616468;0;2;A;2;202303510616468
202303620714231;0;2;A;2;202303620714231
202307680862615;0;2;A;2;202307680862615
202327732295782;0;2;A;2;202327732295782
202321252813768;1;0;C;0;202321252813768
202301393496871;3;1;D;6;202301393496871
202334221644295;3;1;D;6;202334221644295
202309021407493;1;2;D;1;202309021407493
202303070660181;1;2;D;1;202303070660181
202302611143207;1;2;A;8;202302611143207
202327013201986;1;2;A;8;202327013201986
202302611268714;1;2;A;8;202302611268714
202300963004362;0;2;B;2;202300963004362
202301533605964;0;2;B;2;202301533605964
202302611059960;0;2;B;2;202302611059960
202300522098842;0;2;B;2;202300522098842
202302300486605;0;2;B;2;202302300486605
202338910561991;2;2;D;5;202338910561991
202338631737088;2;2;D;5;202338631737088
202327663086411;2;2;B;4;202327663086411
202303511938785;2;2;B;4;202303511938785
202303711390890;2;2;B;4;202303711390890
202327013213386;2;2;B;4;202327013213386
202310311972361;2;2;B;4;202310311972361
202323051160956;1;0;None;2;202323051160956
202322361106285;1;0;None;2;202322361106285
202323211166058;1;0;None;2;202323211166058
202300611946145;1;0;D;5;202300611946145
202302611376811;2;0;A;2;202302611376811
202327013230782;2;0;A;2;202327013230782
202366210127033;2;0;A;2;202366210127033
202332551331768;2;2;D;3;202332551331768
202334071662375;2;2;D;3;202334071662375
202332321743404;2;2;D;3;202332321743404
202305531501905;3;0;None;3;202305531501905
202307000835761;3;0;None;3;202307000835761
202334432910390;0;2;C;2;202334432910390
202333791575865;0;2;C;2;202333791575865
202334020210858;1;2;C;1;202334020210858
202333402903569;1;2;C;1;202333402903569
202332911775009;1;2;C;1;202332911775009
202313411604356;1;2;C;1;202313411604356
202334080217845;1;2;C;1;202334080217845
202333920204890;1;2;C;1;202333920204890
202332041325501;1;2;C;1;202332041325501
202332041460974;1;2;C;1;202332041460974
202332341866869;1;2;C;1;202332341866869
202334422909197;1;2;C;1;202334422909197
202305810792069;1;2;C;1;202305810792069
202334080217388;1;2;C;1;202334080217388
202313462855320;1;2;C;1;202313462855320
202328882354183;2;2;D;3;202328882354183
202328253135030;2;2;D;3;202328253135030
202302933577029;1;2;C;3;202302933577029
202301913961031;1;2;C;3;202301913961031
202302932151122;1;2;C;3;202302932151122
